John Paul Getty Jr.
John Stockwell (actor)
Cripple Clarence Lofton
Zack Williams (actor)
Jerome and Jeremiah Valeska
Frank Fertitta III
Shelly Novack
Ursula Rucker
Donald Faison
Jonathan Coulton
Doreen Cannon
Ida Kramer
Lactalis
Jared Anderson (heavy metal musician)
Ross Elliott
Virginia Dwyer
Lily Aldrin
Kelley Stoltz
Jamey Sheridan
Oliver Cheatham
Harry A. Pollard
Traylor Howard
Mary-Jean O'Doherty
George Garner
Pura Fé
Joe Stecher
Michael Visaroff
Joey McIntyre
Kate Josephine Bateman
Asie Payton
Warren Day
Mikael Blomkvist
Bob Gibson (musician)
Aloma Wright
Artie Auerbach
Eucharis (fiction)
Marcus Forrester
William E. Conway Jr.
Alex Harvey (country musician)
Little Jimmy
Nancy Wilson (jazz singer)
Doug Young (actor)
Mark Williams (Holby City)
Laura Gibson
Joey Bishop
Mischa Auer
Russell Hopton
Stephen Gottlieb
Valkyrie (Marvel Comics)
Arthur Julian
Dale Wright (singer)
Maxwell Street Jimmy Davis
Arjun Menon
Carey Scott
Steven Seagal
Myrtle Vail
Ral Donner
Eddie Collins (actor)
Chris Colfer
Marnie Andrews
Thomas Secunda
Edward F. Cline
Fanny Brice
Audrey Marie Anderson
Steffen Zacharias
Francisca Valenzuela
"""Scarface"" John Williams"
Lizzie Evans
Linnea Quigley
Dulé Hill
Nigel Molesworth
Daniel London
Carla Bianco
Josh Homme
Aoife O'Donovan
Myron McCormick
George Rock
Charlie Hill
George Milton
Ellie Greenwich
Jeff Buckley
Edith Haldeman
Nicole Leach
Ann Andrews
Siobhan Marsden
Sophie Devereaux
Helen Lowell
Svengali
Joey Buchanan
Robert Middlemass
Dawn Wells
Frank Darien
Julian Crane
David Brian
Barbara Ryan
Robert Karnes
Charles S. Cohen
Marquis St. Evrémonde
Ali Mills (character)
Enrique Murciano
Tony Jackson (pianist)
Zoe Barnett
Aunt Em
Phil Reeves
Andrea Baker
Ryan O'Quinn
Bryan Keith
Jean Howell
Walter Blythe
Rupert Hitzig
Marty Saybrooke
Jim Boles
Napoleon Whiting
W. E. Lawrence
Joseph Green (actor)
Matilda Hunter
Rob Storey (Home and Away)
Steve Broderick
Bob Blue
Audrey Long
Noah Cyrus
Donna Lynne Champlin
Johnny Horton
Hugh O'Connor
Carmit Bachar
Tyler Smith (musician)
Suzanne Halpin
Olive May
Daphne Blake
Jim Davis (businessman)
Stanley Tucci on screen and stage
Shelly Burch
Vanness Wu
Carolyn McCormick
Dirk Edward Ziff
Kieran Culkin
George Montgomery (actor)
Chet Atkins
Hippolyta (DC Comics)
Pamela Gordon (actress)
Walter Abel
Leah Turner
James Donlan
Rocky Wirtz
Kimberly Wyatt
Amanda Randolph
Sam McDaniel
Ryan Dunn
Mary Loos
Evelyn Nelson
Shelby Corcoran
Hobart Henley
Gay Autterson
Max D. Barnes
Jo Marie Payton
John Cromwell (director)
Jamie Hector
Dorothy Wilson (actress)
Benjy Ferree
Howard Da Silva
Oliver Twist (character)
Pamela Douglas
Kirsten Price (musician)
Gloria Castillo
Edna Mayo
Sue Sylvester
Susan Buffett
Eric van der Woodsen
Valeria (Conan the Barbarian)
Ruth Hale (playwright and actress)
Melissa Menago
Diedrich Bader
Ching Chow
Adam Heywood
Christy Scott Cashman
Paul Rudd
Mace Greenleaf
Donna Martell
Wild Bill Longson
Clare Kramer
Darth Maul
Michelle DaRosa
Bender (Futurama)
Patricia Belcher
Beatrice Colen
Walt Kowalski
Hugo Ferreira
Jay R. Smith
Theodore Wilson
Jimmy Monaghan
Ronnie Burns (actor)
Edgar Allan Woolf
Kay Hammond (American actress)
Dave Van Ronk
Anjali Bhimani
Mark Gordon (actor)
Tom McGowan
Joshua Ledet
Quinton Flynn
Cat Power
Carole Cook
Art Passarella
Curley Williams
Earl McDonald
Danny Comden
Cissy Houston
Annette Moreno
Hassan Johnson
Sammy Ridgley
John Wayne
Larry Ward (actor)
Trent Willmon
Nell Theobald
Sabbath (Doctor Who)
Sarah Lee Guthrie
Sean Bridgers
Don Costello
Thelma Ritter
Reid Ewing
Category:Popeye characters
Richard Hamilton (actor)
George Nader
Harold Lang
Summer XO
Edith Hallor
Min Kao
Pauline Hall
Dominic Hoffman
Matt Hoverman
She-Ra
Elizabeth Reller
Alex D. Linz
Blind Uncle Gaspard
Beau Bokan
Pelle Hermanni
Spencer Fox
Tahj Mowry
Gasoline Gus (comic)
Nathan Gunn
Carman (singer)
Ryan Beatty
Ruby Button
Randy California
George Maharis
Kate Jennings Grant
Yvonne De Carlo
Madison Beer
